numero;seq;rotulo
03001016320158240011;50002;AGR
01150691820158240000;50009;AGR
10009802820168240000;50002;AGR
40090167120178240000;50004;AGR
03051303920168240018;50002;AGR
40111151420178240000;50002;AGR
00472822320138240038;50002;AGR
03010190920148240074;50001;AGR
03012188320168240034;50001;AGR
00090904220088240023;50000;AGR
00072071620158240023;50005;AGR
00227648120138240033;50002;AGR
08041684620138240023;50002;AGR
08003568520118240113;50001;AGR
03046655120168240011;50002;AGR
40171863220178240000;50003;AGR
00017326020088240141;50002;AGR
00015763620138240064;50003;AGR
00072280620128240020;50003;AGR
03097584220148240018;50002;AGR
10085483120138240023;50001;AGR
01232224920078240023;50002;AGR
00019516920098240034;50002;AGR
00129809120158240039;50001;AGR
00024513420118240045;50002;AGR
00011262220118240078;50001;AGR
03031643520168240020;50002;AGR
03031643520168240020;50003;AGR
00128087820118240011;50002;AGR
00298496620138240018;50002;AGR
00054847620078240011;50001;AGR
00168252020038240018;50001;AGR
00062375420158240075;50002;AGR
01381458020078240023;50004;AGR
05004787420138240058;50002;AGR
00082375320098240005;50002;AGR
40128923420178240000;50001;AGR
03011275220158240058;50001;AGR
03018867320148240018;50001;AGR
40037244220168240000;50004;AGR
03002836520148240017;50002;AGR
03000780920168240068;50001;AGR
40220987220178240000;50001;AGR
00036663520118240113;50002;AGR
03041011020168240064;50001;AGR
03018508420168240010;50002;AGR
03023137620168240058;50002;AGR
40195740520178240000;50001;AGR
00258596120138240020;50002;AGR
03036230320148240054;50002;AGR
00013907319988240020;50001;AGR
03139343020158240018;50001;AGR
03042804220158240075;50001;AGR
03038455020168240005;50001;AGR
03035682920168240039;50001;AGR
00064155320148240005;50000;AGR
00090904220088240023;50001;AGR
03025735020148240018;50001;AGR
03016792920158240054;50002;AGR
03012951520168240092;50003;AGR
03012951520168240092;50002;AGR
40097029720168240000;50003;AGR
05002626320098240023;50003;AGR
03001326420178240027;50001;AGR
00005708520158240011;50002;AGR
40070666120168240000;50001;AGR
03320033220148240023;50002;AGR
03056165820168240039;50001;AGR
00104268020118240054;50005;AGR
03020618520178240075;50001;AGR
03009525820158240058;50001;AGR
03082086920158240020;50002;AGR
03020034120148240058;50002;AGR
00383179520098240038;50001;AGR
03003872820168240004;50002;AGR
01499303020158240000;50006;AGR
00033875120098240038;50001;AGR
01272270820158240000;50002;AGR
00336625120078240038;50002;AGR
00006687620138240064;50002;AGR
00072280620128240020;50004;AGR
00003017720148240012;50002;AGR
00062699820098240033;50002;AGR
00060621920138240079;50003;AGR
00027940320148240020;50002;AGR
00027940320148240020;50003;AGR
06002741620148240054;50003;AGR
00143404220078240039;50005;AGR
00143404220078240039;50004;AGR
00021830420138240079;50002;AGR
00232735720138240018;50002;AGR
00197221620068240018;50002;AGR
00006939220128240042;50001;AGR
00025992420148240018;50001;AGR
00065768120108240012;50002;AGR
00042335520148240018;50001;AGR
00018997720048240057;50002;AGR
00056217420098240080;50002;AGR
01494886420158240000;50003;AGR
01610521120138240000;50005;AGR
00003761020108240125;50002;AGR
40044265120178240000;50001;AGR
03014995820158240039;50001;AGR
40019409320178240000;50001;AGR
03007056220148240139;50001;AGR
00437918720128240023;50002;AGR
00133039720128240008;50002;AGR
00041856120098240054;50002;AGR
03007056220148240139;50002;AGR
03017460520158240018;50001;AGR
03014771120168240024;50002;AGR
40067521820168240000;50002;AGR
00072071620158240023;50004;AGR
00040367020068240054;50002;AGR
40174611520168240000;50002;AGR
06024683920148240005;50002;AGR
40175868020168240000;50003;AGR
03002313720168240005;50002;AGR
00261788420168240000;50001;AGR
00112592020128240004;50001;AGR
00071657820128240020;50002;AGR
00264356020138240018;50002;AGR
00037341920118240037;50002;AGR
00037341920118240037;50003;AGR
01570355820158240000;50002;AGR
03002718520178240004;50001;AGR
40298690420178240000;50002;AGR
40275003720178240000;50001;AGR
03023250420168240022;50001;AGR
40099450720178240000;50002;AGR
40099523320168240000;50001;AGR
40091390620168240000;50002;AGR
40094717020168240000;50002;AGR
40140347320178240000;50001;AGR
03092041920158240036;50001;AGR
03061415620158240045;50002;AGR
40063339520168240000;50001;AGR
40100395220178240000;50001;AGR
00051883120118240038;50002;AGR
00026262220108240026;50002;AGR
00462560520048240038;50001;AGR
00047425420108240073;50003;AGR
00115346620128240004;50002;AGR
00059244020078240054;50002;AGR
00052719120128240012;50001;AGR
05014224420108240038;50001;AGR
05016913020128240033;50001;AGR
00194991920138240018;50001;AGR
00054747720138240025;50005;AGR
00014708120148240018;50002;AGR
00080841920078240125;50002;AGR
00022397920128240141;50003;AGR
00337016320078240033;50002;AGR
01360016120148240000;50002;AGR
00253083020078240008;50005;AGR
00025488920138240004;50003;AGR
00107937520108240075;50007;AGR
40117806420168240000;50002;AGR
40117806420168240000;50001;AGR
00354661220018240023;50006;AGR
00332667620168240000;50001;AGR
03382173920148240023;50002;AGR
40080215820178240000;50004;AGR
03205097320148240023;50002;AGR
00019068320138240015;50001;AGR
03205097320148240023;50003;AGR
40156631920168240000;50001;AGR
03092121020168240020;50001;AGR
40079750620168240000;50001;AGR
03310316220148240023;50001;AGR
40198824120178240000;50003;AGR
03069704020148240023;50004;AGR
03006853620168240031;50002;AGR
40101454820168240000;50002;AGR
40103576920168240000;50003;AGR
40060001220178240000;50001;AGR
40062816520178240000;50002;AGR
40202349620178240000;50002;AGR
40112043720178240000;50002;AGR
40025722220178240000;50002;AGR
03046175820148240045;50002;AGR
40057117920178240000;50002;AGR
03069704020148240023;50005;AGR
40080366120168240000;50003;AGR
40036975920168240000;50001;AGR
03105141120158240020;50002;AGR
40031026020168240000;50002;AGR
40086462920168240000;50001;AGR
40269183720178240000;50001;AGR
40258159220178240000;50002;AGR
40156631920168240000;50002;AGR
00924185320078240038;50001;AGR
00088495020078240008;50002;AGR
00006246820128240104;50001;AGR
00003996020088240016;50001;AGR
00329255020168240000;50001;AGR
00472424120138240038;50001;AGR
