,PROCESSO,ROTULO_MANUAL,LEI
0,00039604720138240039,CDC,artigo 535
1,00039604720138240039,CDC,9656/1998
2,00039604720138240039,CDC,616/2012
3,00039604720138240039,CDC,artigo 535
4,00039604720138240039,CDC,9656/1998
5,00039604720138240039,CDC,616/2012
6,00039604720138240039,CDC,artigo 535
7,00039604720138240039,CDC,9656/1998
8,00039604720138240039,CDC,616/2012
9,03003908120178240057,FAM,artigo 1022
10,03003908120178240057,FAM,155/1997
11,03003908120178240057,FAM,artigo 1022
12,03003908120178240057,FAM,155/1997
13,00343187620058240038,SFH,artigo 1022
14,03004476520188240057,FAM,artigo 1022
15,03004476520188240057,FAM,155/1997
16,03004476520188240057,FAM,artigo 1022
17,03004476520188240057,FAM,155/1997
18,00024255420138240081,DAN,115/2007
19,00024255420138240081,DAN,38/2008
20,00024255420138240081,DAN,artigo 2
21,00024255420138240081,DAN,artigo 5
22,00176621120138240023,DAN,artigo 99
23,00176621120138240023,DAN,artigo 1013
24,00176621120138240023,DAN,artigo 333
25,00176621120138240023,DAN,artigo 373
26,00176621120138240023,DAN,artigo 99
27,00176621120138240023,DAN,artigo 1013
28,00176621120138240023,DAN,artigo 333
29,00176621120138240023,DAN,artigo 373
30,01462480420148240000,SFH,artigo 1022
31,00103872520108240020,CON,6766/1979
32,00103872520108240020,CON,artigo 267
33,00103872520108240020,CON,artigo 219
34,00103872520108240020,CON,artigo 942
35,00103872520108240020,CON,6766/1979
36,00103872520108240020,CON,artigo 267
37,00103872520108240020,CON,artigo 219
38,00103872520108240020,CON,artigo 942
39,00019503520078240073,DMI,artigo 166
40,00019503520078240073,DMI,artigo 85
41,00019503520078240073,DMI,artigo 166
42,00019503520078240073,DMI,artigo 85
43,00019503520078240073,DMI,artigo 166
44,00019503520078240073,DMI,artigo 85
45,40291360420188240000,OIE,artigo 524
46,00296027820128240064,SFH,artigo 1022
47,00296027820128240064,SFH,artigo 1022
48,00134543320138240039,SFH,7682/1988
49,00134543320138240039,SFH,478/2009
50,00134543320138240039,SFH,13000/2014
51,00134543320138240039,SFH,artigo 109
52,00134543320138240039,SFH,artigo 55
53,00134543320138240039,SFH,7682/1988
54,00134543320138240039,SFH,478/2009
55,00134543320138240039,SFH,13000/2014
56,00134543320138240039,SFH,artigo 109
57,00134543320138240039,SFH,artigo 55
58,00134543320138240039,SFH,7682/1988
59,00134543320138240039,SFH,478/2009
60,00134543320138240039,SFH,13000/2014
61,00134543320138240039,SFH,artigo 109
62,00134543320138240039,SFH,artigo 55
63,00134543320138240039,SFH,7682/1988
64,00134543320138240039,SFH,478/2009
65,00134543320138240039,SFH,13000/2014
66,00134543320138240039,SFH,artigo 109
67,00134543320138240039,SFH,artigo 55
68,00125388920118240064,SFH,artigo 1022
69,00125388920118240064,SFH,artigo 1022
70,00125388920118240064,SFH,12409/2011
71,00125388920118240064,SFH,13000/2014
72,00125388920118240064,SFH,artigo 1
73,00125388920118240064,SFH,12409/2011
74,00125388920118240064,SFH,13000/2014
75,00125388920118240064,SFH,artigo 1
76,00125388920118240064,SFH,artigo 1022
77,00125388920118240064,SFH,artigo 1022
78,00125388920118240064,SFH,12409/2011
79,00125388920118240064,SFH,13000/2014
80,00125388920118240064,SFH,artigo 1
81,00125388920118240064,SFH,12409/2011
82,00125388920118240064,SFH,13000/2014
83,00125388920118240064,SFH,artigo 1
84,00125388920118240064,SFH,artigo 1022
85,00125388920118240064,SFH,artigo 1022
86,00125388920118240064,SFH,12409/2011
87,00125388920118240064,SFH,13000/2014
88,00125388920118240064,SFH,artigo 1
89,00125388920118240064,SFH,12409/2011
90,00125388920118240064,SFH,13000/2014
91,00125388920118240064,SFH,artigo 1
92,00125388920118240064,SFH,artigo 1022
93,00125388920118240064,SFH,artigo 1022
94,00125388920118240064,SFH,12409/2011
95,00125388920118240064,SFH,13000/2014
96,00125388920118240064,SFH,artigo 1
97,00125388920118240064,SFH,12409/2011
98,00125388920118240064,SFH,13000/2014
99,00125388920118240064,SFH,artigo 1
100,00125388920118240064,SFH,artigo 1022
101,00125388920118240064,SFH,artigo 1022
102,00125388920118240064,SFH,12409/2011
103,00125388920118240064,SFH,13000/2014
104,00125388920118240064,SFH,artigo 1
105,00125388920118240064,SFH,12409/2011
106,00125388920118240064,SFH,13000/2014
107,00125388920118240064,SFH,artigo 1
108,00125388920118240064,SFH,artigo 1022
109,00125388920118240064,SFH,artigo 1022
110,00125388920118240064,SFH,12409/2011
111,00125388920118240064,SFH,13000/2014
112,00125388920118240064,SFH,artigo 1
113,00125388920118240064,SFH,12409/2011
114,00125388920118240064,SFH,13000/2014
115,00125388920118240064,SFH,artigo 1
116,00110200720088240020,CON,artigo 1022
117,00110200720088240020,CON,artigo 326
118,00110200720088240020,CON,artigo 86
119,00110200720088240020,CON,artigo 1022
120,00110200720088240020,CON,artigo 326
121,00110200720088240020,CON,artigo 86
122,00183901920168240000,SFH,12409/2011
123,00183901920168240000,SFH,13000/2014
124,00183901920168240000,SFH,artigo 1
125,00183901920168240000,SFH,artigo 109
126,00183901920168240000,SFH,artigo 1022
127,00183901920168240000,SFH,artigo 1022
128,00183901920168240000,SFH,12409/2011
129,00183901920168240000,SFH,13000/2014
130,00183901920168240000,SFH,artigo 1
131,00183901920168240000,SFH,artigo 109
132,00183901920168240000,SFH,artigo 1022
133,00183901920168240000,SFH,artigo 1022
134,00183901920168240000,SFH,12409/2011
135,00183901920168240000,SFH,13000/2014
136,00183901920168240000,SFH,artigo 1
137,00183901920168240000,SFH,artigo 109
138,00183901920168240000,SFH,artigo 1022
139,00183901920168240000,SFH,artigo 1022
140,00283688620058240038,SFH,artigo 1022
141,00076166720118240011,SEG,artigo 206
142,00076166720118240011,SEG,artigo 206
143,00076166720118240011,SEG,artigo 206
144,00076166720118240011,SEG,artigo 206
145,01402874820158240000,RAI,artigo 1022
146,01402874820158240000,RAI,artigo 463
147,01402874820158240000,RAI,artigo 1022
148,01402874820158240000,RAI,artigo 463
149,01402874820158240000,RAI,artigo 1022
150,01402874820158240000,RAI,artigo 463
151,01402874820158240000,RAI,artigo 1022
152,01402874820158240000,RAI,artigo 463
153,01402874820158240000,RAI,artigo 1022
154,01402874820158240000,RAI,artigo 463
155,01402874820158240000,RAI,artigo 1022
156,01402874820158240000,RAI,artigo 463
157,00042293420108240058,DAN,artigo 85
158,00042293420108240058,DAN,artigo 85
159,00042293420108240058,DAN,artigo 942
160,00042293420108240058,DAN,artigo 942
161,00042293420108240058,DAN,artigo 85
162,00042293420108240058,DAN,artigo 85
163,00042293420108240058,DAN,artigo 942
164,00042293420108240058,DAN,artigo 942
165,00042293420108240058,DAN,artigo 85
166,00042293420108240058,DAN,artigo 85
167,00042293420108240058,DAN,artigo 942
168,00042293420108240058,DAN,artigo 942
169,00042293420108240058,DAN,artigo 85
170,00042293420108240058,DAN,artigo 85
171,00042293420108240058,DAN,artigo 942
172,00042293420108240058,DAN,artigo 942
173,00251420720168240000,EXP,artigo 475
174,00251420720168240000,EXP,artigo 475
175,00251420720168240000,EXP,artigo 475
176,00251420720168240000,EXP,artigo 475
177,00251420720168240000,EXP,artigo 475
178,00251420720168240000,EXP,artigo 475
179,00251420720168240000,EXP,artigo 475
180,00251420720168240000,EXP,artigo 475
181,00251420720168240000,EXP,artigo 475
182,00251420720168240000,EXP,artigo 475
183,00152596919998240020,BAN,artigo 1022
184,00152596919998240020,BAN,artigo 1022
185,01521673720158240000,EXP,artigo 535
186,01521673720158240000,EXP,artigo 1022
187,01521673720158240000,EXP,artigo 85
188,01521673720158240000,EXP,artigo 1025
189,01521673720158240000,EXP,artigo 85
190,01521673720158240000,EXP,artigo 535
191,01521673720158240000,EXP,artigo 1022
192,01521673720158240000,EXP,artigo 85
193,01521673720158240000,EXP,artigo 1025
194,01521673720158240000,EXP,artigo 85
195,01521673720158240000,EXP,artigo 535
196,01521673720158240000,EXP,artigo 1022
197,01521673720158240000,EXP,artigo 85
198,01521673720158240000,EXP,artigo 1025
199,01521673720158240000,EXP,artigo 85
200,00119741420098240054,BAN,42/2008
201,00119741420098240054,BAN,artigo 1040
202,00119741420098240054,BAN,artigo 5
203,00119741420098240054,BAN,artigo 51
204,00119741420098240054,BAN,artigo 86
205,00119741420098240054,BAN,artigo 85
206,00119741420098240054,BAN,artigo 85
207,00119741420098240054,BAN,42/2008
208,00119741420098240054,BAN,artigo 1040
209,00119741420098240054,BAN,artigo 5
210,00119741420098240054,BAN,artigo 51
211,00119741420098240054,BAN,artigo 86
212,00119741420098240054,BAN,artigo 85
213,00119741420098240054,BAN,artigo 85
214,00119741420098240054,BAN,8078/1990
215,00119741420098240054,BAN,1521/1951
216,00119741420098240054,BAN,artigo 6
217,00119741420098240054,BAN,artigo 4
218,00119741420098240054,BAN,artigo 51
219,00119741420098240054,BAN,artigo 86
220,00119741420098240054,BAN,artigo 85
221,00119741420098240054,BAN,artigo 86
222,00119741420098240054,BAN,artigo 85
223,00119741420098240054,BAN,artigo 1010
224,00119741420098240054,BAN,artigo 1010
225,00119741420098240054,BAN,artigo 85
226,00119741420098240054,BAN,8078/1990
227,00119741420098240054,BAN,1521/1951
228,00119741420098240054,BAN,artigo 6
229,00119741420098240054,BAN,artigo 4
230,00119741420098240054,BAN,artigo 51
231,00119741420098240054,BAN,artigo 86
232,00119741420098240054,BAN,artigo 85
233,00119741420098240054,BAN,artigo 86
234,00119741420098240054,BAN,artigo 85
235,00119741420098240054,BAN,artigo 1010
236,00119741420098240054,BAN,artigo 1010
237,00119741420098240054,BAN,artigo 85
238,00119741420098240054,BAN,artigo 1022
239,00119741420098240054,BAN,artigo 1022
240,00119741420098240054,BAN,artigo 1022
241,00119741420098240054,BAN,artigo 1022
242,00119741420098240054,BAN,42/2008
243,00119741420098240054,BAN,artigo 1040
244,00119741420098240054,BAN,artigo 5
245,00119741420098240054,BAN,artigo 51
246,00119741420098240054,BAN,artigo 86
247,00119741420098240054,BAN,artigo 85
248,00119741420098240054,BAN,artigo 85
249,00119741420098240054,BAN,42/2008
250,00119741420098240054,BAN,artigo 1040
251,00119741420098240054,BAN,artigo 5
252,00119741420098240054,BAN,artigo 51
253,00119741420098240054,BAN,artigo 86
254,00119741420098240054,BAN,artigo 85
255,00119741420098240054,BAN,artigo 85
256,00119741420098240054,BAN,8078/1990
257,00119741420098240054,BAN,1521/1951
258,00119741420098240054,BAN,artigo 6
259,00119741420098240054,BAN,artigo 4
260,00119741420098240054,BAN,artigo 51
261,00119741420098240054,BAN,artigo 86
262,00119741420098240054,BAN,artigo 85
263,00119741420098240054,BAN,artigo 86
264,00119741420098240054,BAN,artigo 85
265,00119741420098240054,BAN,artigo 1010
266,00119741420098240054,BAN,artigo 1010
267,00119741420098240054,BAN,artigo 85
268,00119741420098240054,BAN,8078/1990
269,00119741420098240054,BAN,1521/1951
270,00119741420098240054,BAN,artigo 6
271,00119741420098240054,BAN,artigo 4
272,00119741420098240054,BAN,artigo 51
273,00119741420098240054,BAN,artigo 86
274,00119741420098240054,BAN,artigo 85
275,00119741420098240054,BAN,artigo 86
276,00119741420098240054,BAN,artigo 85
277,00119741420098240054,BAN,artigo 1010
278,00119741420098240054,BAN,artigo 1010
279,00119741420098240054,BAN,artigo 85
280,00119741420098240054,BAN,artigo 1022
281,00119741420098240054,BAN,artigo 1022
282,00119741420098240054,BAN,artigo 1022
283,00119741420098240054,BAN,artigo 1022
284,00119741420098240054,BAN,42/2008
285,00119741420098240054,BAN,artigo 1040
286,00119741420098240054,BAN,artigo 5
287,00119741420098240054,BAN,artigo 51
288,00119741420098240054,BAN,artigo 86
289,00119741420098240054,BAN,artigo 85
290,00119741420098240054,BAN,artigo 85
291,00119741420098240054,BAN,42/2008
292,00119741420098240054,BAN,artigo 1040
293,00119741420098240054,BAN,artigo 5
294,00119741420098240054,BAN,artigo 51
295,00119741420098240054,BAN,artigo 86
296,00119741420098240054,BAN,artigo 85
297,00119741420098240054,BAN,artigo 85
298,00119741420098240054,BAN,8078/1990
299,00119741420098240054,BAN,1521/1951
300,00119741420098240054,BAN,artigo 6
301,00119741420098240054,BAN,artigo 4
302,00119741420098240054,BAN,artigo 51
303,00119741420098240054,BAN,artigo 86
304,00119741420098240054,BAN,artigo 85
305,00119741420098240054,BAN,artigo 86
306,00119741420098240054,BAN,artigo 85
307,00119741420098240054,BAN,artigo 1010
308,00119741420098240054,BAN,artigo 1010
309,00119741420098240054,BAN,artigo 85
310,00119741420098240054,BAN,8078/1990
311,00119741420098240054,BAN,1521/1951
312,00119741420098240054,BAN,artigo 6
313,00119741420098240054,BAN,artigo 4
314,00119741420098240054,BAN,artigo 51
315,00119741420098240054,BAN,artigo 86
316,00119741420098240054,BAN,artigo 85
317,00119741420098240054,BAN,artigo 86
318,00119741420098240054,BAN,artigo 85
319,00119741420098240054,BAN,artigo 1010
320,00119741420098240054,BAN,artigo 1010
321,00119741420098240054,BAN,artigo 85
322,00119741420098240054,BAN,artigo 1022
323,00119741420098240054,BAN,artigo 1022
324,00119741420098240054,BAN,artigo 1022
325,00119741420098240054,BAN,artigo 1022
326,00119741420098240054,BAN,42/2008
327,00119741420098240054,BAN,artigo 1040
328,00119741420098240054,BAN,artigo 5
329,00119741420098240054,BAN,artigo 51
330,00119741420098240054,BAN,artigo 86
331,00119741420098240054,BAN,artigo 85
332,00119741420098240054,BAN,artigo 85
333,00119741420098240054,BAN,42/2008
334,00119741420098240054,BAN,artigo 1040
335,00119741420098240054,BAN,artigo 5
336,00119741420098240054,BAN,artigo 51
337,00119741420098240054,BAN,artigo 86
338,00119741420098240054,BAN,artigo 85
339,00119741420098240054,BAN,artigo 85
340,00119741420098240054,BAN,8078/1990
341,00119741420098240054,BAN,1521/1951
342,00119741420098240054,BAN,artigo 6
343,00119741420098240054,BAN,artigo 4
344,00119741420098240054,BAN,artigo 51
345,00119741420098240054,BAN,artigo 86
346,00119741420098240054,BAN,artigo 85
347,00119741420098240054,BAN,artigo 86
348,00119741420098240054,BAN,artigo 85
349,00119741420098240054,BAN,artigo 1010
350,00119741420098240054,BAN,artigo 1010
351,00119741420098240054,BAN,artigo 85
352,00119741420098240054,BAN,8078/1990
353,00119741420098240054,BAN,1521/1951
354,00119741420098240054,BAN,artigo 6
355,00119741420098240054,BAN,artigo 4
356,00119741420098240054,BAN,artigo 51
357,00119741420098240054,BAN,artigo 86
358,00119741420098240054,BAN,artigo 85
359,00119741420098240054,BAN,artigo 86
360,00119741420098240054,BAN,artigo 85
361,00119741420098240054,BAN,artigo 1010
362,00119741420098240054,BAN,artigo 1010
363,00119741420098240054,BAN,artigo 85
364,00119741420098240054,BAN,artigo 1022
365,00119741420098240054,BAN,artigo 1022
366,00119741420098240054,BAN,artigo 1022
367,00119741420098240054,BAN,artigo 1022
368,00119741420098240054,BAN,42/2008
369,00119741420098240054,BAN,artigo 1040
370,00119741420098240054,BAN,artigo 5
371,00119741420098240054,BAN,artigo 51
372,00119741420098240054,BAN,artigo 86
373,00119741420098240054,BAN,artigo 85
374,00119741420098240054,BAN,artigo 85
375,00119741420098240054,BAN,42/2008
376,00119741420098240054,BAN,artigo 1040
377,00119741420098240054,BAN,artigo 5
378,00119741420098240054,BAN,artigo 51
379,00119741420098240054,BAN,artigo 86
380,00119741420098240054,BAN,artigo 85
